Date,Close
2015-03-02,3.21
2015-03-03,3.14
2015-03-04,3.05
2015-03-05,2.98
2015-03-06,2.92
2015-03-07,2.93
2015-03-08,2.92
2015-03-09,2.84
2015-03-10,2.76
2015-03-11,2.75
2015-03-12,2.76
2015-03-13,2.77
2015-03-14,2.75
2015-03-15,2.74
2015-03-16,2.8
2015-03-17,2.84
2015-03-18,2.79
2015-03-19,2.63
2015-03-20,2.65
2015-03-21,2.72
2015-03-22,2.7
2015-03-23,2.68
2015-03-24,2.69
2015-03-25,2.69
2015-03-26,2.7
2015-03-27,2.7
2015-03-28,2.71
2015-03-29,2.72
2015-03-30,2.76
2015-03-31,2.78
2015-04-01,2.67
2015-04-02,2.7
2015-04-03,2.87
2015-04-04,2.58
2015-04-05,2.49
2015-04-06,2.35
2015-04-07,2.28
2015-04-08,2.33
2015-04-09,2.3
2015-04-10,2.34
2015-04-11,2.31
2015-04-12,2.28
2015-04-13,2.26
2015-04-14,2.31
2015-04-15,2.31
2015-04-16,2.28
2015-04-17,2.29
2015-04-18,2.32
2015-04-19,2.31
2015-04-20,2.32
2015-04-21,2.35
2015-04-22,2.37
2015-04-23,2.33
2015-04-24,2.32
2015-04-25,2.35
2015-04-26,2.28
2015-04-27,2.32
2015-04-28,2.28
2015-04-29,2.28
2015-04-30,2.22
2015-05-01,2.28
2015-05-02,2.27
2015-05-03,2.28
2015-05-04,2.25
2015-05-05,2.3
2015-05-06,2.28
2015-05-07,2.33
2015-05-08,2.33
2015-05-09,2.31
2015-05-10,2.29
2015-05-11,2.32
2015-05-12,2.32
2015-05-13,2.31
2015-05-14,2.32
2015-05-15,2.35
2015-05-16,2.47
2015-05-17,2.52
2015-05-18,2.58
2015-05-19,2.62
2015-05-20,2.61
2015-05-21,2.62
2015-05-22,2.58
2015-05-23,2.47
2015-05-24,2.34
2015-05-25,2.4
2015-05-26,2.42
2015-05-27,2.53
2015-05-28,2.47
2015-05-29,2.09
2015-05-30,2.01
2015-05-31,1.98
2015-06-01,1.96
2015-06-02,1.96
2015-06-03,2.05
2015-06-04,1.96
2015-06-05,1.87
2015-06-06,1.79
2015-06-07,1.8
2015-06-08,1.8
2015-06-09,1.79
2015-06-10,1.76
2015-06-11,1.67
2015-06-12,1.62
2015-06-13,1.77
2015-06-14,1.96
2015-06-15,1.93
2015-06-16,1.93
2015-06-17,2.2
2015-06-18,2.13
2015-06-19,2.16
2015-06-20,2.11
2015-06-21,2.09
2015-06-22,1.93
2015-06-23,1.9
2015-06-24,1.9
2015-06-25,1.79
2015-06-26,1.84
2015-06-27,1.8
2015-06-28,1.8
2015-06-29,1.8
2015-06-30,1.7
2015-07-01,1.78
2015-07-02,1.75
2015-07-03,1.66
2015-07-04,1.72
2015-07-05,1.78
2015-07-06,1.85
2015-07-07,1.81
2015-07-08,1.71
2015-07-09,1.77
2015-07-10,1.79
2015-07-11,1.82
2015-07-12,1.88
2015-07-13,1.85
2015-07-14,1.84
2015-07-15,2.01
2015-07-16,1.82
2015-07-17,1.86
2015-07-18,1.89
2015-07-19,1.89
2015-07-20,1.87
2015-07-21,1.81
2015-07-22,1.73
2015-07-23,1.7
2015-07-24,1.72
2015-07-25,1.71
2015-07-26,1.66
2015-07-27,1.67
2015-07-28,1.72
2015-07-29,1.74
2015-07-30,1.83
2015-07-31,1.8
2015-08-01,1.83
2015-08-02,1.86
2015-08-03,1.93
2015-08-04,1.96
2015-08-05,1.87
2015-08-06,1.92
2015-08-07,1.95
2015-08-08,1.97
2015-08-09,1.94
2015-08-10,2.01
2015-08-11,2.02
2015-08-12,2.1
2015-08-13,2.14
2015-08-14,2.21
2015-08-15,2.15
2015-08-16,2.15
2015-08-17,2.18
2015-08-18,2.13
2015-08-19,2.12
2015-08-20,2.19
2015-08-21,2.28
2015-08-22,2.2
2015-08-23,2.2
2015-08-24,2.15
2015-08-25,2.11
2015-08-26,2.02
2015-08-27,2.07
2015-08-28,2
2015-08-29,1.99
2015-08-30,1.99
2015-08-31,1.98
2015-09-01,2.12
2015-09-02,2.14
2015-09-03,2.22
2015-09-04,2.22
2015-09-05,2.34
2015-09-06,2.38
2015-09-07,2.33
2015-09-08,2.36
2015-09-09,2.34
2015-09-10,2.27
2015-09-11,2.23
2015-09-12,2.28
2015-09-13,2.36
2015-09-14,2.39
2015-09-15,2.35
2015-09-16,2.45
2015-09-17,2.36
2015-09-18,2.34
2015-09-19,2.36
2015-09-20,2.54
2015-09-21,2.56
2015-09-22,2.45
2015-09-23,2.53
2015-09-24,2.77
2015-09-25,2.83
2015-09-26,2.92
2015-09-27,3
2015-09-28,3
2015-09-29,2.98
2015-09-30,2.87
2015-10-01,2.77
2015-10-02,2.75
2015-10-03,2.51
2015-10-04,2.28
2015-10-05,2.14
2015-10-06,2.34
2015-10-07,2.39
2015-10-08,2.25
2015-10-09,2.21
2015-10-10,2.03
2015-10-11,1.95
2015-10-12,1.8
2015-10-13,2.09
2015-10-14,2.02
2015-10-15,2.12
2015-10-16,2.07
2015-10-17,2.13
2015-10-18,2.08
2015-10-19,2.2
2015-10-20,2.14
2015-10-21,1.99
2015-10-22,2.07
2015-10-23,2.09
2015-10-24,1.98
2015-10-25,1.93
2015-10-26,1.9
2015-10-27,1.84
2015-10-28,1.86
2015-10-29,1.83
2015-10-30,1.83
2015-10-31,1.9
2015-11-01,1.91
