Date,Close
2015-03-02,22.6
2015-03-03,22.18
2015-03-04,22.43
2015-03-05,22.86
2015-03-06,22.55
2015-03-07,22.61
2015-03-08,23
2015-03-09,22.88
2015-03-10,22.67
2015-03-11,22.7
2015-03-12,22.97
2015-03-13,23.25
2015-03-14,22.87
2015-03-15,23.22
2015-03-16,23.47
2015-03-17,22.71
2015-03-18,22.4
2015-03-19,21.04
2015-03-20,20.97
2015-03-21,21.38
2015-03-22,21.47
2015-03-23,20.93
2015-03-24,21.01
2015-03-25,21.06
2015-03-26,21.67
2015-03-27,21.86
2015-03-28,22.02
2015-03-29,22.53
2015-03-30,22.76
2015-03-31,22.55
2015-04-01,22.36
2015-04-02,22.63
2015-04-03,22.49
2015-04-04,22.2
2015-04-05,22.09
2015-04-06,22.06
2015-04-07,22.31
2015-04-08,22.22
2015-04-09,22.03
2015-04-10,22.2
2015-04-11,22.31
2015-04-12,22.14
2015-04-13,22.2
2015-04-14,22.75
2015-04-15,22.61
2015-04-16,22.03
2015-04-17,22.1
2015-04-18,22.49
2015-04-19,20.83
2015-04-20,20.63
2015-04-21,20.83
2015-04-22,20.95
2015-04-23,21.29
2015-04-24,21.3
2015-04-25,21.27
2015-04-26,21.04
2015-04-27,21.04
2015-04-28,20.89
2015-04-29,20.86
2015-04-30,20.73
2015-05-01,21.84
2015-05-02,22.14
2015-05-03,22.13
2015-05-04,22.38
2015-05-05,21.94
2015-05-06,21.7
2015-05-07,22.09
2015-05-08,22.26
2015-05-09,21.75
2015-05-10,21.86
2015-05-11,21.47
2015-05-12,21.7
2015-05-13,21.11
2015-05-14,21.07
2015-05-15,21.33
2015-05-16,21.58
2015-05-17,21.94
2015-05-18,21.87
2015-05-19,21.78
2015-05-20,21.22
2015-05-21,21.01
2015-05-22,21.17
2015-05-23,20.74
2015-05-24,20.12
2015-05-25,20.11
2015-05-26,20.4
2015-05-27,20.42
2015-05-28,20.17
2015-05-29,19.79
2015-05-30,19.65
2015-05-31,19.41
2015-06-01,19.75
2015-06-02,19.88
2015-06-03,19.89
2015-06-04,19.75
2015-06-05,20.19
2015-06-06,20.07
2015-06-07,19.7
2015-06-08,19.79
2015-06-09,19.41
2015-06-10,19.65
2015-06-11,19.42
2015-06-12,19.31
2015-06-13,19.73
2015-06-14,19.97
2015-06-15,20.02
2015-06-16,19.95
2015-06-17,20.29
2015-06-18,20.37
2015-06-19,20.58
2015-06-20,20.45
2015-06-21,22.98
2015-06-22,23.78
2015-06-23,23.66
2015-06-24,23.72
2015-06-25,23.52
2015-06-26,23.54
2015-06-27,23.39
2015-06-28,23.08
2015-06-29,22.99
2015-06-30,22.16
2015-07-01,21.47
2015-07-02,20.71
2015-07-03,20.28
2015-07-04,21.81
2015-07-05,22.63
2015-07-06,22.73
2015-07-07,22.48
2015-07-08,21.56
2015-07-09,22.21
2015-07-10,22.27
2015-07-11,21.75
2015-07-12,22.68
2015-07-13,22.23
2015-07-14,22.58
2015-07-15,22.65
2015-07-16,22.69
2015-07-17,22.94
2015-07-18,23.1
2015-07-19,23.31
2015-07-20,23.29
2015-07-21,23.53
2015-07-22,22.89
2015-07-23,23
2015-07-24,23.44
2015-07-25,23.61
2015-07-26,23.3
2015-07-27,23.71
2015-07-28,24.65
2015-07-29,24.17
2015-07-30,24.8
2015-07-31,25.42
2015-08-01,25.75
2015-08-02,26.02
2015-08-03,26.17
2015-08-04,26.07
2015-08-05,26.35
2015-08-06,26.4
2015-08-07,27.36
2015-08-08,27.43
2015-08-09,27.86
2015-08-10,27.81
2015-08-11,27.77
2015-08-12,27.41
2015-08-13,28.4
2015-08-14,28.59
2015-08-15,28.46
2015-08-16,28.44
2015-08-17,28.67
2015-08-18,27.68
2015-08-19,28.37
2015-08-20,28.7
2015-08-21,28.5
2015-08-22,28.03
2015-08-23,27.71
2015-08-24,31.55
2015-08-25,31.41
2015-08-26,30.81
2015-08-27,30.51
2015-08-28,30.4
2015-08-29,29.8
2015-08-30,30.4
2015-08-31,30.4
2015-09-01,31.03
2015-09-02,31.12
2015-09-03,31.39
2015-09-04,30.92
2015-09-05,31.17
2015-09-06,31.13
2015-09-07,31.39
2015-09-08,31.72
2015-09-09,32.75
2015-09-10,32.5
2015-09-11,32.43
2015-09-12,33.75
2015-09-13,33.11
2015-09-14,33.56
2015-09-15,32.71
2015-09-16,32.98
2015-09-17,32.49
2015-09-18,32.57
2015-09-19,32.97
2015-09-20,33.17
2015-09-21,32.67
2015-09-22,32.14
2015-09-23,32.9
2015-09-24,32.93
2015-09-25,33.06
2015-09-26,33.17
2015-09-27,33.14
2015-09-28,33.68
2015-09-29,33.39
2015-09-30,32.96
2015-10-01,32.37
2015-10-02,32.89
2015-10-03,31.53
2015-10-04,30.28
2015-10-05,29.63
2015-10-06,29.68
2015-10-07,30.18
2015-10-08,29.26
2015-10-09,28.67
2015-10-10,27.11
2015-10-11,27.33
2015-10-12,27.48
2015-10-13,27.8
2015-10-14,28.45
2015-10-15,28.42
2015-10-16,28.7
2015-10-17,28.36
2015-10-18,28.05
2015-10-19,29.29
2015-10-20,29.3
2015-10-21,28.06
2015-10-22,28.2
2015-10-23,28.21
2015-10-24,26.43
2015-10-25,25.22
2015-10-26,25.49
2015-10-27,25.43
2015-10-28,25.3
2015-10-29,25.73
2015-10-30,26.99
2015-10-31,27.66
2015-11-01,30.04
2015-11-02,30.44
2015-11-03,31.52
2015-11-04,31.6
2015-11-05,31.82
2015-11-06,31.89
2015-11-07,31.68
2015-11-08,31.36
2015-11-09,32.75
2015-11-10,32.94
2015-11-11,32.65
2015-11-12,32.55
2015-11-13,32.34
2015-11-14,31.75
2015-11-15,31.73
2015-11-16,31.68
2015-11-17,32.22
2015-11-18,32.3
2015-11-19,32.14
2015-11-20,33.1
2015-11-21,32.82
2015-11-22,33.81
2015-11-23,33.91
2015-11-24,33.85
2015-11-25,34.43
2015-11-26,34.48
2015-11-27,34.83
2015-11-28,35.39
2015-11-29,35.76
2015-11-30,35.63
2015-12-01,36.15
2015-12-02,35.8
2015-12-03,35.75
2015-12-04,35.8
2015-12-05,35.43
2015-12-06,35.66
2015-12-07,35.88
2015-12-08,35.84
2015-12-09,36.74
2015-12-10,36.84
2015-12-11,37.13
2015-12-12,36.97
2015-12-13,36.31
2015-12-14,36.45
2015-12-15,36.41
2015-12-16,36.27
2015-12-17,36.45
2015-12-18,36.48
2015-12-19,37.31
2015-12-20,36.2
2015-12-21,35.53
2015-12-22,36
2015-12-23,35.57
2015-12-24,34.76
2015-12-25,34.97
2015-12-26,35.33
2015-12-27,35.28
2015-12-28,35.96
2015-12-29,36.06
2015-12-30,35.57
2015-12-31,40.98
2016-01-01,42.19
2016-01-02,42.28
2016-01-03,43.36
2016-01-04,43.55
2016-01-05,44.33
2016-01-06,44.4
2016-01-07,45.36
2016-01-08,45.17
2016-01-09,45.65
2016-01-10,45.9
2016-01-11,46.72
2016-01-12,46.81
2016-01-13,47.14
2016-01-14,46.48
2016-01-15,46.24
2016-01-16,46.33
2016-01-17,46.18
2016-01-18,47.38
2016-01-19,46.2
2016-01-20,46.79
2016-01-21,46.88
2016-01-22,47.36
2016-01-23,47.55
2016-01-24,46.72
2016-01-25,47.56
2016-01-26,47.27
2016-01-27,47.23
2016-01-28,48.49
2016-01-29,45.73
2016-01-30,45.24
2016-01-31,45.9
2016-02-01,46.65
2016-02-02,47.01
2016-02-03,46.66
2016-02-04,47.35
2016-02-05,47.65
2016-02-06,48.89
2016-02-07,50.85
2016-02-08,52.02
2016-02-09,52.8
2016-02-10,52.78
2016-02-11,53.32
2016-02-12,52.7
2016-02-13,52.97
2016-02-14,53.52
2016-02-15,54.22
2016-02-16,53.22
2016-02-17,54.67
2016-02-18,55.68
2016-02-19,56.63
2016-02-20,56.06
2016-02-21,56.18
2016-02-22,57.1
2016-02-23,56.73
2016-02-24,56.04
2016-02-25,56.19
2016-02-26,57.23
2016-02-27,58.2
2016-02-28,58.74
2016-02-29,58.89
2016-03-01,58.51
2016-03-02,59.7
2016-03-03,63.04
2016-03-04,62.98
2016-03-05,62.6
2016-03-06,61.15
2016-03-07,62.1
2016-03-08,62.26
2016-03-09,62.52
2016-03-10,62.91
